"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","星期日",2473.05020538567
"2","member","星期日",1125.52979727945
"3","casual","星期一",1782.27412891986
"4","member","星期一",1019.18927265464
"5","casual","星期二",2349.99466348569
"6","member","星期二",938.749829407751
"7","casual","星期三",1802.61569764201
"8","member","星期三",964.130144124985
"9","casual","星期四",1312.19915351178
"10","member","星期四",877.778958363753
"11","casual","星期五",3071.23440587073
"12","member","星期五",952.823551393652
"13","casual","星期六",3309.62733448474
"14","member","星期六",1060.12969260294
